Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Liberia,25.45,24.84,26.02,26.88,26.70,26.25,25.43,24.49,24.31,24.80,25.25,25.57,24.94
Margibi,25.85,25.45,26.43,27.23,27.02,26.62,25.73,24.75,24.48,25.06,25.64,26.19,25.65
Lofa,24.77,23.22,24.86,26.23,26.24,25.94,25.18,24.37,24.27,24.63,24.57,24.45,23.26
"Grand Kru",25.57,25.57,26.35,26.88,26.77,26.18,25.29,24.39,24.17,24.60,25.26,25.78,25.62
"Grand Gedeh",25.44,25.01,26.27,26.91,26.66,26.12,25.29,24.31,24.20,24.70,25.22,25.59,25.04
"Grand Cape Mount",26.24,25.76,26.90,27.67,27.43,26.99,26.16,25.18,24.92,25.50,26.01,26.50,25.99
"Grand Bassa",25.66,25.35,26.24,27.03,26.82,26.39,25.52,24.53,24.32,24.86,25.48,25.98,25.51
Sinoe,25.46,25.33,26.20,26.77,26.58,26.09,25.24,24.32,24.13,24.59,25.18,25.70,25.39
Gbarpolu,25.39,24.39,25.84,26.85,26.65,26.31,25.55,24.65,24.42,24.92,25.19,25.40,24.54
"River Gee",25.46,25.33,26.32,26.87,26.68,26.07,25.20,24.29,24.08,24.59,25.16,25.60,25.34
Bong,25.39,24.53,25.79,26.81,26.66,26.27,25.50,24.54,24.34,24.86,25.27,25.50,24.67
Rivercess,25.63,25.40,26.23,26.99,26.77,26.31,25.47,24.51,24.30,24.79,25.41,25.92,25.48
Bomi,26.16,25.88,26.76,27.55,27.26,26.89,26.00,25.03,24.77,25.35,25.90,26.49,26.08
Nimba,25.18,24.19,25.67,26.75,26.54,26.08,25.29,24.30,24.25,24.66,25.10,25.16,24.27
Montserrado,26.07,25.83,26.67,27.45,27.19,26.78,25.89,24.92,24.65,25.24,25.84,26.44,26.05
Maryland,25.62,25.64,26.48,26.96,26.86,26.24,25.35,24.45,24.21,24.66,25.26,25.78,25.71
